City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Discription
134,Ridgecrest,35.6225,-117.6709,84.47,10,0,29.93,US,clear sky
135,Hildburghausen,50.4255,10.7318,33.37,94,22,3.78,DE,few clouds
136,Paita,-5.0892,-81.1144,71.56,79,100,8.7,PE,overcast clouds
137,Tuktoyaktuk,69.4541,-133.0374,5.0,78,75,18.41,CA,broken clouds
138,Kodiak,57.79,-152.4072,42.31,33,0,12.66,US,clear sky
139,Ifakara,-8.1333,36.6833,71.69,95,100,0.49,TZ,light rain
140,Khatanga,71.9667,102.5,4.59,96,100,0.74,RU,overcast clouds
141,San Patricio,28.017,-97.5169,74.53,51,92,20.94,US,overcast clouds
142,Qaanaaq,77.484,-69.3632,-1.48,80,100,4.9,GL,overcast clouds
143,Lubango,-14.9172,13.4925,62.37,73,37,2.35,AO,scattered clouds
144,Bambous Virieux,-20.3428,57.7575,75.45,94,75,11.5,MU,light intensity shower rain
145,Nador,35.174,-2.9287,53.85,66,0,2.3,MA,clear sky
146,Lorengau,-2.0226,147.2712,83.79,74,59,7.83,PG,broken clouds
147,Kousseri,12.0769,15.0306,88.07,22,100,5.88,CM,overcast clouds
148,Petropavlovsk-Kamchatskiy,53.0452,158.6483,36.19,32,0,2.24,RU,clear sky
149,Svetogorsk,61.1121,28.8632,30.85,92,5,1.01,RU,clear sky
150,Tommot,58.9564,126.2925,24.39,82,6,1.32,RU,clear sky
151,Mosquera,4.7059,-74.2302,59.09,77,40,4.61,CO,scattered clouds
152,Washington,47.5001,-120.5015,45.9,34,0,10.92,US,clear sky
153,Kruisfontein,-34.0033,24.7314,63.88,94,65,8.03,ZA,broken clouds
154,Nanortalik,60.1432,-45.2371,29.95,79,71,3.78,GL,broken clouds
155,Tucurui,-3.7661,-49.6725,74.3,97,100,3.04,BR,heavy intensity rain
156,Taoudenni,22.6783,-3.9836,74.7,11,0,11.79,ML,clear sky
157,Port Elizabeth,-33.918,25.5701,66.09,97,100,5.01,ZA,overcast clouds
158,Wajima,37.4,136.9,74.08,33,0,14.97,JP,clear sky
159,Tilichiki,60.4667,166.1,24.53,72,44,7.16,RU,scattered clouds
160,Castro,-24.7911,-50.0119,64.85,90,100,2.51,BR,overcast clouds
161,Kantunilkin,21.0917,-87.45,67.66,62,93,3.62,MX,overcast clouds
162,Tambopata,-12.7333,-69.1833,73.42,98,100,2.13,PE,overcast clouds
163,Impfondo,1.6381,18.0667,71.74,89,100,3.51,CG,overcast clouds
164,Visby,57.6409,18.296,37.81,87,37,13.8,SE,scattered clouds
165,Ahipara,-35.1667,173.1667,69.48,61,76,5.06,NZ,broken clouds
166,Buchanan,5.8808,-10.0467,76.55,90,100,16.37,LR,heavy intensity rain
167,Tiksi,71.6872,128.8694,-8.25,95,67,6.67,RU,broken clouds
168,Broken Hill,-31.95,141.4333,78.4,36,0,4.12,AU,clear sky
169,Ambon,-3.6954,128.1814,86.14,70,40,3.44,ID,scattered clouds
170,Bredasdorp,-34.5322,20.0403,60.76,90,15,14.29,ZA,few clouds
171,Cuauhtemoc,28.4167,-106.8667,68.97,23,70,22.44,MX,broken clouds
172,Mount Gambier,-37.8333,140.7667,77.11,36,100,12.24,AU,overcast clouds
173,Bulgan,48.8125,103.5347,32.61,84,100,3.67,MN,light snow
174,Buguruslan,53.6554,52.442,42.35,96,100,8.72,RU,overcast clouds
175,Bontang,0.1333,117.5,78.73,86,100,9.28,ID,overcast clouds
176,Ereymentau,51.6199,73.1033,33.35,67,15,8.84,KZ,few clouds
177,Tabou,4.423,-7.3528,80.37,86,81,5.17,CI,light rain
178,Ivdel,60.6911,60.4206,34.09,99,100,5.53,RU,overcast clouds
179,Ambilobe,-13.2,49.05,71.98,95,69,2.28,MG,broken clouds
180,Kalmar,56.6616,16.3616,38.97,87,87,11.5,SE,overcast clouds
181,Geraldton,-28.7667,114.6,64.81,72,75,17.27,AU,broken clouds
182,Pisco,-13.7,-76.2167,66.25,88,0,5.75,PE,clear sky
183,Margate,51.3813,1.3862,43.7,71,86,4.45,GB,overcast clouds
184,Kachug,53.9606,105.8817,33.15,74,100,7.65,RU,overcast clouds
