City_ID,City,Country,Max Temp,Current Discription,Lat,Lng,Hotel Name
144,Bambous Virieux,MU,75.45,light intensity shower rain,-20.3428,57.7575,Casa Tia Villa
145,Nador,MA,53.85,clear sky,35.174,-2.9287,Hôtel La Giralda
146,Lorengau,PG,83.79,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
147,Kousseri,CM,88.07,overcast clouds,12.0769,15.0306,Le Pilotis
148,Petropavlovsk-Kamchatskiy,RU,36.19,clear sky,53.0452,158.6483,The Hotel Petropavlovsky
149,Svetogorsk,RU,30.85,clear sky,61.1121,28.8632,Lesogorskaya Resort
150,Tommot,RU,24.39,clear sky,58.9564,126.2925,Gostinitsa Tommot
151,Mosquera,CO,59.09,scattered clouds,4.7059,-74.2302,Hotel SJ
152,Washington,US,45.9,clear sky,47.5001,-120.5015,"Cashmere Cider Mill Guest Suites, Weddings & Tasting Room"
153,Kruisfontein,ZA,63.88,broken clouds,-34.0033,24.7314,Oyster Bay House Rental
155,Tucurui,BR,74.3,heavy intensity rain,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
157,Port Elizabeth,ZA,66.09,overcast clouds,-33.918,25.5701,39 On Nile Guest House
158,Wajima,JP,74.08,clear sky,37.4,136.9,Wajiima Onsen Yashio
160,Castro,BR,64.85,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
161,Kantunilkin,MX,67.66,overcast clouds,21.0917,-87.45,Posada Paraiso
163,Impfondo,CG,71.74,overcast clouds,1.6381,18.0667,Auberge La Place de Jules
164,Visby,SE,37.81,scattered clouds,57.6409,18.296,Best Western Solhem Hotel Visby
165,Ahipara,NZ,69.48,broken clouds,-35.1667,173.1667,Ahipara Holiday Park
166,Buchanan,LR,76.55,heavy intensity rain,5.8808,-10.0467,Kamaneahn Hotel Inc
167,Tiksi,RU,-8.25,broken clouds,71.6872,128.8694,Arktika
168,Broken Hill,AU,78.4,clear sky,-31.95,141.4333,Royal Exchange Hotel
169,Ambon,ID,86.14,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
170,Bredasdorp,ZA,60.76,few clouds,-34.5322,20.0403,Bredasdorp Country Manor
171,Cuauhtemoc,MX,68.97,broken clouds,28.4167,-106.8667,Motel Tarahumara Inn
172,Mount Gambier,AU,77.11,overcast clouds,-37.8333,140.7667,The Commodore
173,Bulgan,MN,32.61,light snow,48.8125,103.5347,Unitel Булган салбар
174,Buguruslan,RU,42.35,overcast clouds,53.6554,52.442,Gostinitsa Russkaya Piramida
175,Bontang,ID,78.73,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
176,Ereymentau,KZ,33.35,few clouds,51.6199,73.1033,"Gostinitsa ""Dostyk"""
177,Tabou,CI,80.37,light rain,4.423,-7.3528,hotêl doufoulougou
178,Ivdel,RU,34.09,overcast clouds,60.6911,60.4206,Ivdel'
179,Ambilobe,MG,71.98,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
180,Kalmar,SE,38.97,overcast clouds,56.6616,16.3616,First Hotel Witt
181,Geraldton,AU,64.81,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
182,Pisco,PE,66.25,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
183,Margate,GB,43.7,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
184,Kachug,RU,33.15,overcast clouds,53.9606,105.8817,"The hotel ""Empire"""
185,Victoria,HK,78.24,clear sky,22.2855,114.1577,Mini Hotel Central
186,Kaitangata,NZ,62.06,clear sky,-46.2817,169.8464,Kaitangata Motor Camp
187,Bang Saphan,TH,81.68,overcast clouds,11.2126,99.5117,Ladawan Boutique Hotel
188,Tongren,CN,70.74,few clouds,27.7172,109.1853,Fanjing Mountain International Conference Center
189,Ponta Do Sol,PT,61.0,broken clouds,32.6667,-17.1,Hotel do Campo
190,Paamiut,GL,23.77,overcast clouds,61.994,-49.6678,Pistut
191,Nouadhibou,MR,62.58,clear sky,20.931,-17.0347,El Medina
192,Fort Nelson,CA,40.59,few clouds,58.8053,-122.7002,The Fort Nelson Hotel
193,Tutoia,BR,77.13,light rain,-2.7619,-42.2744,Pousada Guará's
194,Harer,ET,60.58,clear sky,9.3094,42.1258,Amir Cultural Harari Guesthouse
195,Joura,IN,82.85,clear sky,26.3411,77.8115,Shubh medical store joura
196,Padang,ID,80.65,overcast clouds,-0.9492,100.3543,Mercure Padang
197,Faya,SA,59.11,clear sky,18.3851,42.4509,املاك خالد الشعشوع
198,Mahebourg,MU,75.49,light intensity shower rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
199,Iqaluit,CA,20.93,light snow,63.7506,-68.5145,Frobisher Inn
200,Coquimbo,CL,55.13,clear sky,-29.9533,-71.3436,Hotel San Juan
201,Namibe,AO,71.15,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
202,New Norfolk,AU,77.67,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
203,Grand Gaube,MU,75.6,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
204,Isangel,VU,84.85,clear sky,-19.55,169.2667,Tanna Lodge
205,Letlhakane,BW,61.25,scattered clouds,-21.4167,25.5833,Motswedi Hotel
206,Longyearbyen,SJ,19.24,scattered clouds,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
207,Puerto Ayora,EC,78.71,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
208,Sorland,NO,39.78,overcast clouds,67.667,12.6934,Sjybrygga fiskecamp
209,Praia Da Vitoria,PT,53.85,few clouds,38.7333,-27.0667,Hotel Branco I
210,Oussouye,SN,72.1,clear sky,12.485,-16.5469,Auberge du Routard
211,Kaarina,FI,34.77,few clouds,60.4072,22.369,Hotel Kivitasku
212,Morgantown,US,39.31,overcast clouds,39.6295,-79.9559,Morgantown Marriott at Waterfront Place
214,Hobyo,SO,81.01,few clouds,5.3505,48.5268,Iftin hotel hobyo
215,Kavieng,PG,84.25,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
216,Hilo,US,73.26,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
217,Alofi,NU,85.89,scattered clouds,-19.0595,-169.9187,Taloa Heights
218,East London,ZA,64.42,light rain,-33.0153,27.9116,Tu Casa
219,Belmonte,BR,77.58,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
220,Havelock,US,55.35,overcast clouds,34.8791,-76.9013,Sherwood Motel
221,Dicabisagan,PH,79.84,broken clouds,17.0818,122.4157,Nancy Montanes Bernardo
222,Lively,CA,33.03,overcast clouds,46.4334,-81.1498,Lively Inn and Suites - Sudbury
224,Tamale,GH,85.24,overcast clouds,9.4008,-0.8393,Tap Hotel
225,Stromness,GB,35.56,moderate rain,58.965,-3.296,The Old Smokery
226,Dubrovnik,HR,58.64,scattered clouds,42.6481,18.0922,Hotel Dubrovnik Palace
228,Torbay,CA,35.28,fog,47.6666,-52.7314,Gallows Cove
229,Dzaoudzi,YT,76.89,clear sky,-12.7887,45.2699,Le Rocher
230,Zhicheng,CN,77.38,clear sky,30.2956,111.5047,Wangjiang Building
231,Siirt,TR,48.11,clear sky,37.9326,41.9403,Barden Otel
232,Kutahya,TR,49.19,clear sky,39.4242,29.9833,Grand Çınar Hotel
234,Mecca,SA,81.09,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
235,Tautira,PF,81.64,scattered clouds,-17.7333,-149.15,Pension Oaoa
236,Saint Anthony,US,51.73,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
237,Hutchinson,US,67.95,clear sky,38.0608,-97.9298,Hampton Inn Hutchinson
238,Klaksvik,FO,34.72,overcast clouds,62.2266,-6.589,Airbnb rooms
