City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Discription
353,Lagoa,39.05,-27.9833,57.85,87,83,31.52,PT,broken clouds
354,Fangshan,39.6983,115.9925,62.87,36,46,5.37,CN,scattered clouds
355,Yuzhou,34.1628,113.4639,64.9,67,96,5.66,CN,overcast clouds
356,Buala,-8.145,159.5921,85.21,68,53,11.45,SB,broken clouds
357,Kawalu,-7.3817,108.2082,70.86,94,100,1.81,ID,overcast clouds
358,Flinders,-34.5833,150.8552,71.06,86,75,4.0,AU,broken clouds
359,Zhuhai,22.2769,113.5678,71.85,78,0,8.05,CN,clear sky
360,Sao Joao Da Barra,-21.6403,-41.0511,76.44,82,11,10.2,BR,few clouds
361,Chaykovskiy,56.7686,54.1148,35.01,100,100,3.15,RU,overcast clouds
362,Adwa,14.1646,38.8955,65.05,30,0,9.19,ET,clear sky
363,Deputatskiy,69.3,139.9,-3.15,98,100,4.09,RU,overcast clouds
364,Tual,-5.6667,132.75,83.32,74,61,12.26,ID,broken clouds
365,Chicama,-7.8447,-79.1469,66.74,72,78,7.43,PE,broken clouds
366,Mezen,65.8522,44.24,34.36,93,100,13.91,RU,overcast clouds
367,Lata,40.1629,-8.3327,56.8,99,100,3.18,PT,overcast clouds
368,Mehamn,71.0357,27.8492,33.15,85,100,32.21,NO,overcast clouds
369,Akyab,20.15,92.9,77.31,85,21,2.89,MM,few clouds
370,Yarada,17.65,83.2667,80.06,86,60,10.25,IN,broken clouds
371,Biak,-0.9131,122.8766,78.1,79,100,2.8,ID,overcast clouds
372,Sitka,57.0531,-135.33,42.69,56,75,10.36,US,broken clouds
373,Balakhta,55.38,91.6,34.05,86,79,10.42,RU,light snow
374,Kingsville,27.5159,-97.8561,84.61,29,0,16.11,US,clear sky
375,Beroroha,-21.6667,45.1667,73.45,85,42,3.94,MG,scattered clouds
376,Kahului,20.8947,-156.47,82.42,65,75,25.32,US,broken clouds
377,Vannes,47.8333,-2.5,41.61,93,31,8.88,FR,scattered clouds
378,Grindavik,63.8424,-22.4338,32.47,59,0,3.44,IS,clear sky
379,Norman Wells,65.282,-126.8329,41.04,38,75,3.44,CA,broken clouds
380,Andenes,69.3143,16.1194,35.58,64,40,28.77,NO,scattered clouds
381,Chase,50.8165,-119.6857,58.08,41,33,10.02,CA,scattered clouds
382,Gali,42.6265,41.7381,50.23,96,97,0.96,GE,overcast clouds
383,Vana-Vigala,58.7806,24.2522,34.84,87,93,13.06,EE,overcast clouds
384,Diamantino,-14.4086,-56.4461,79.09,73,20,5.14,BR,few clouds
385,Nueva Loja,0.0847,-76.8828,75.22,94,75,2.3,EC,broken clouds
386,Novoagansk,61.9449,76.6625,-2.15,98,27,7.54,RU,scattered clouds
387,Turkmenabat,39.0733,63.5786,62.58,67,75,4.61,TM,broken clouds
388,Xuddur,4.1213,43.8894,77.11,74,100,16.64,SO,overcast clouds
389,Kendari,-3.945,122.4989,76.1,91,97,3.65,ID,overcast clouds
390,Maryborough,-25.5333,152.7,74.1,74,74,9.95,AU,broken clouds
391,Chara,56.9064,118.2631,18.9,77,100,1.48,RU,overcast clouds
392,Nizhnyaya Tavda,57.6731,66.1725,31.33,96,100,2.28,RU,overcast clouds
393,Porkhov,57.765,29.5561,34.99,86,89,8.55,RU,overcast clouds
394,Tambopata,-12.7333,-69.1833,74.93,96,98,1.97,PE,overcast clouds
395,Boffa,10.1667,-14.0333,77.5,84,10,3.8,GN,clear sky
396,Yabassi,4.457,9.9682,73.92,98,100,1.34,CM,light rain
397,Jackson,42.4165,-122.8345,66.92,26,40,13.8,US,scattered clouds
398,French Harbor,16.35,-86.4333,84.2,89,40,9.22,HN,scattered clouds
399,Cascais,38.6979,-9.4215,61.5,74,73,15.99,PT,broken clouds
400,Whitecourt,54.1502,-115.6855,54.64,28,20,23.02,CA,few clouds
401,Fukue,32.6881,128.8419,61.16,88,0,3.44,JP,clear sky
402,Bratsk,56.1325,101.6142,30.69,92,100,2.84,RU,overcast clouds
403,Oksfjord,70.2396,22.3479,32.07,93,100,9.51,NO,light snow
404,Fougamou,-1.2154,10.5838,75.83,99,100,2.3,GA,light rain
405,Constitucion,-35.3333,-72.4167,54.64,93,38,10.89,CL,scattered clouds
406,Houlton,46.1262,-67.8403,39.61,93,100,5.75,US,overcast clouds
407,Chiang Klang,19.2938,100.8617,74.82,68,87,1.77,TH,overcast clouds
408,Mareeba,-17.0,145.4333,80.65,79,22,2.51,AU,few clouds
409,Alenquer,-1.9417,-54.7383,74.32,96,83,4.54,BR,broken clouds
410,Praia Da Vitoria,38.7333,-27.0667,62.85,82,75,33.89,PT,broken clouds
411,Mahuva,21.0914,71.7622,85.46,29,4,12.26,IN,clear sky
412,Matasari,44.85,23.0833,52.25,71,76,2.35,RO,broken clouds
413,Milesion,38.2833,23.8,61.88,64,0,1.01,GR,clear sky
414,Porto Velho,-8.7619,-63.9039,86.05,66,20,2.3,BR,thunderstorm
415,Jalu,29.0331,21.5482,65.7,43,0,8.99,LY,clear sky
416,Sorong,-0.8833,131.25,79.18,84,100,9.53,ID,overcast clouds
417,Itaituba,-4.2761,-55.9836,75.94,97,87,2.33,BR,light rain
418,Los Llanos De Aridane,28.6585,-17.9182,60.55,86,100,10.36,ES,overcast clouds
419,Pelym,61.0108,61.9978,25.75,98,87,5.23,RU,overcast clouds
420,Ponta Delgada,37.7333,-25.6667,63.32,82,75,26.46,PT,broken clouds
421,Guerrero Negro,27.9769,-114.0611,83.73,22,44,13.0,MX,scattered clouds
422,Sungaipenuh,-2.0833,101.3833,61.83,92,65,1.74,ID,broken clouds
423,Novovarshavka,54.1721,74.6946,32.04,82,2,8.95,RU,clear sky
424,Noumea,-22.2763,166.4572,82.0,99,18,17.38,NC,few clouds
425,Sompeta,18.9333,84.6,77.59,88,23,12.06,IN,few clouds
426,Pemangkat,1.1667,108.9667,77.07,85,94,0.96,ID,overcast clouds
427,Kasempa,-13.4584,25.8338,63.27,98,61,7.23,ZM,light rain
428,Planaltina,-15.4528,-47.6142,71.91,59,66,2.57,BR,broken clouds
429,Imeni Morozova,59.9757,31.0376,36.54,1,100,5.3,RU,overcast clouds
430,Iwanai,42.9744,140.5089,45.88,75,76,9.26,JP,broken clouds
431,Kaeo,-35.1,173.7833,70.32,64,8,7.31,NZ,clear sky
432,Cortez,37.3489,-108.5859,68.76,12,0,13.8,US,clear sky
433,Contai,21.7786,87.7536,78.46,87,2,16.11,IN,clear sky
434,Hobyo,5.3505,48.5268,81.84,78,65,10.92,SO,broken clouds
435,Kinablangan,7.6947,126.5503,77.88,85,100,2.1,PH,light rain
436,Kirgiz-Miyaki,53.6324,54.7979,32.63,95,100,3.62,RU,overcast clouds
437,Camalu,30.85,-116.0667,79.83,29,73,5.57,MX,broken clouds
438,Amapa,1.0,-52.0,72.05,99,100,3.42,BR,light rain
439,Hasaki,35.7333,140.8333,63.0,67,0,19.28,JP,clear sky
440,Madimba,-10.4,40.3333,76.24,88,2,5.01,TZ,clear sky
441,Acarau,-2.8856,-40.12,78.24,87,60,9.95,BR,broken clouds
442,Chongwe,-15.3292,28.682,65.91,84,97,9.98,ZM,overcast clouds
443,Muros,42.7762,-9.0603,50.09,94,44,2.95,ES,scattered clouds
444,Pesqueria,25.7833,-100.05,83.75,16,20,12.66,MX,few clouds
445,Uyo,5.0333,7.9266,78.78,86,100,3.06,NG,overcast clouds
446,Nokaneng,-19.6667,22.2667,69.75,70,20,5.7,BW,light rain
447,Belyy Yar,53.6039,91.3903,39.09,65,75,13.42,RU,broken clouds
448,Oranjemund,-28.55,16.4333,62.26,68,0,3.27,NA,clear sky
449,Samarai,-10.6167,150.6667,82.53,76,99,15.39,PG,overcast clouds
450,Ola,59.5833,151.2833,23.14,84,88,3.74,RU,overcast clouds
451,Vikhorevka,56.1201,101.1636,31.59,93,100,1.81,RU,overcast clouds
452,Tommot,58.9564,126.2925,10.98,94,87,1.19,RU,overcast clouds
453,Malakal,9.5334,31.6605,86.81,38,67,4.63,SS,light rain
454,Geraldton,-28.7667,114.6,64.81,88,75,8.05,AU,broken clouds
455,Chimoio,-19.1164,33.4833,64.26,100,75,7.4,MZ,broken clouds
456,Laizhou,37.1717,119.9214,61.09,66,42,11.95,CN,scattered clouds
457,Terney,45.0503,136.6092,40.77,70,100,0.98,RU,moderate rain
458,Baykit,61.67,96.37,4.69,98,93,2.89,RU,overcast clouds
459,Genhe,50.7833,121.5167,29.26,72,40,3.2,CN,scattered clouds
460,Todos Santos,23.45,-110.2167,73.36,61,13,5.44,MX,few clouds
461,Ornskoldsvik,63.2909,18.7153,32.95,100,100,13.8,SE,light snow
462,Ambon,-3.6954,128.1814,80.74,83,40,8.05,ID,scattered clouds
463,Qaqortoq,60.7167,-46.0333,25.79,84,8,2.86,GL,clear sky
464,Liku,-0.7275,119.8922,75.0,85,100,2.01,ID,overcast clouds
465,Nalut,30.3333,10.85,68.81,23,51,16.26,LY,broken clouds
466,Biscarrosse,44.3945,-1.1672,49.95,81,100,8.05,FR,overcast clouds
467,Ahipara,-35.1667,173.1667,68.9,51,26,8.08,NZ,scattered clouds
468,Antofagasta,-23.65,-70.4,61.88,82,45,6.44,CL,scattered clouds
469,Kirakira,-10.4544,161.9205,84.09,76,87,8.81,SB,overcast clouds
470,Bambanglipuro,-7.95,110.2833,75.61,88,88,3.2,ID,overcast clouds
471,Along,28.1667,94.7667,63.82,91,100,0.94,IN,overcast clouds
472,Santa Fe,-31.6333,-60.7,75.97,82,6,6.89,AR,clear sky
473,Vaida,59.2906,24.9658,32.11,93,40,11.5,EE,scattered clouds
474,Lafia,8.4833,8.5167,85.08,56,99,4.5,NG,light rain
475,Hervey Bay,-25.2986,152.8535,74.01,95,82,5.99,AU,broken clouds
476,Torbay,47.6666,-52.7314,31.75,89,75,9.22,CA,broken clouds
477,Oktyabrskoye,43.0645,44.7417,42.94,81,91,2.24,RU,overcast clouds
478,Rybachiy,48.7073,44.7449,49.86,84,100,7.9,RU,overcast clouds
479,Dumas,35.8656,-101.9732,71.62,11,0,10.36,US,clear sky
480,Manaus,-3.1019,-60.025,75.7,100,40,3.44,BR,scattered clouds
481,Rapid Valley,44.0625,-103.1463,60.31,24,0,18.41,US,clear sky
482,Raudeberg,61.9875,5.1352,36.86,77,88,20.65,NO,overcast clouds
483,Zurrieq,35.8311,14.4742,57.96,67,0,8.05,MT,clear sky
484,Krasnyye Baki,57.131,45.1599,38.64,92,96,10.45,RU,overcast clouds
485,El Nispero,14.7667,-88.3333,81.21,65,100,5.79,HN,overcast clouds
486,Aanekoski,62.6946,25.818,32.07,88,95,8.46,FI,overcast clouds
487,Ngozi,-2.9075,29.8306,56.21,93,93,2.73,BI,overcast clouds
488,Havelock,34.8791,-76.9013,66.18,57,40,16.11,US,scattered clouds
489,Soyo,-6.1349,12.3689,78.31,89,27,7.52,AO,scattered clouds
490,Road Town,18.4167,-64.6167,78.84,73,40,10.36,VG,scattered clouds
491,Homer,59.6425,-151.5483,28.8,80,100,13.0,US,light snow
492,Tautira,-17.7333,-149.15,81.52,75,100,17.22,PF,overcast clouds
493,Bilma,18.6853,12.9164,85.1,6,0,4.74,NE,clear sky
494,Rawson,-43.3002,-65.1023,61.05,78,27,17.52,AR,scattered clouds
495,Saraland,30.8207,-88.0706,67.08,40,8,11.97,US,clear sky
496,Ippy,6.2679,21.2247,78.48,58,85,2.57,CF,overcast clouds
497,Clyde River,70.4692,-68.5914,-0.17,78,0,6.91,CA,clear sky
498,Balta,47.9355,29.6198,51.31,52,85,2.71,UA,overcast clouds
499,Mitsamiouli,-11.3847,43.2844,81.52,74,36,6.71,KM,scattered clouds
500,Alihe,50.5667,123.7167,34.3,75,21,2.77,CN,few clouds
501,Ugoofaaru,5.6667,73.0,84.0,69,79,8.5,MV,broken clouds
502,Tacna,-18.0056,-70.2483,62.8,77,100,8.05,PE,overcast clouds
503,Novoshakhtinsk,47.7604,39.9334,47.43,90,100,10.4,RU,overcast clouds
504,Podosinovets,60.2776,47.0659,36.0,100,100,7.4,RU,overcast clouds
505,Den Helder,52.9599,4.7593,43.95,76,75,21.99,NL,broken clouds
506,Tromso,69.6496,18.957,33.82,64,40,21.85,NO,scattered clouds
507,Waipawa,-41.4122,175.5153,53.89,67,100,8.08,NZ,overcast clouds
508,San Juan,-31.5375,-68.5364,78.46,35,0,8.66,AR,clear sky
509,Antalaha,-14.9003,50.2788,75.25,88,100,6.96,MG,overcast clouds
510,Santa Helena De Goias,-17.8136,-50.5969,75.36,77,51,2.71,BR,broken clouds
511,Emba,48.8264,58.1442,48.54,67,100,20.13,KZ,overcast clouds
512,Ferrol,43.4832,-8.2369,53.67,86,55,3.53,ES,broken clouds
513,Tacuati,-23.45,-56.5833,74.01,85,100,2.28,PY,overcast clouds
514,Senno,59.5336,33.9167,38.26,97,100,6.78,RU,overcast clouds
515,Tabuk,17.4189,121.4443,73.22,93,91,0.36,PH,overcast clouds
516,Presidente Olegario,-18.4178,-46.4181,74.61,62,83,2.84,BR,broken clouds
517,Novaya Tavolzhanka,50.3512,36.8298,44.02,84,93,9.08,RU,overcast clouds
518,Vezirkopru,41.1436,35.4547,43.29,82,9,1.99,TR,clear sky
519,Lyuban,52.7985,28.0048,39.96,90,99,9.62,BY,overcast clouds
520,Bubaque,11.2833,-15.8333,76.64,79,12,14.41,GW,few clouds
521,Hun,29.1268,15.9477,67.71,29,22,12.39,LY,few clouds
522,Vryburg,-26.9566,24.7284,57.97,71,80,6.91,ZA,broken clouds
523,Upata,8.0086,-62.3989,79.48,59,91,7.14,VE,overcast clouds
524,Nizwa,22.9333,57.5333,81.39,17,99,3.71,OM,overcast clouds
525,Chardara,41.2547,67.9692,66.85,60,100,1.61,KZ,overcast clouds
526,Unity,52.4501,-109.1682,59.25,41,100,17.38,CA,overcast clouds
527,Ngunguru,-35.6167,174.5,66.94,55,69,9.73,NZ,broken clouds
528,Gamba,-2.65,10.0,77.11,93,90,3.69,GA,overcast clouds
529,Tagusao,9.1924,117.8141,78.51,83,100,5.61,PH,overcast clouds
530,Leh,34.1667,77.5833,26.46,56,0,4.47,IN,clear sky
531,Williston,48.147,-103.618,61.81,21,7,5.99,US,clear sky
532,Werda,-25.2667,23.2833,61.61,79,82,7.85,BW,light rain
533,Banepa,27.6298,85.5214,62.92,88,20,2.3,NP,mist
534,Russell,32.3502,-85.1999,63.68,42,75,10.36,US,broken clouds
535,Olyka,50.7186,25.8125,43.93,83,91,4.29,UA,overcast clouds
536,Kuminskiy,58.6667,66.5667,24.57,99,84,3.18,RU,broken clouds
537,Loding,67.3,14.75,34.65,69,100,5.75,NO,overcast clouds
538,Poum,-20.2333,164.0167,81.36,76,87,8.63,NC,overcast clouds
539,Safaga,26.7292,33.9365,78.66,35,0,19.33,EG,clear sky
540,Atambua,-9.1061,124.8925,74.34,82,91,3.85,ID,overcast clouds
541,Mongo,12.1844,18.693,91.94,21,91,2.64,TD,overcast clouds
542,Abengourou,6.7297,-3.4964,74.07,98,100,3.53,CI,overcast clouds
543,Vao,-22.6667,167.4833,77.67,88,10,25.81,NC,clear sky
544,Port Lincoln,-34.7333,135.8667,67.8,61,0,9.84,AU,clear sky
545,Basti,26.8,82.7167,78.57,24,0,3.6,IN,clear sky
546,Lakshmipur,22.95,90.8333,76.8,90,1,6.67,BD,clear sky
547,Adrar,20.5022,-10.0711,75.67,11,0,10.47,MR,clear sky
548,El Alto,-4.2714,-81.2147,71.89,75,72,11.77,PE,broken clouds
549,Cedar City,37.6775,-113.0619,72.39,14,0,4.61,US,clear sky
550,Micomeseng,2.1462,10.6164,70.74,98,100,3.83,GQ,moderate rain
551,Puerto Leguizamo,-0.1934,-74.7819,77.61,85,95,1.01,CO,overcast clouds
552,Nantucket,41.2835,-70.0995,53.71,82,0,12.66,US,clear sky
553,Prince Rupert,54.3161,-130.3201,44.69,70,75,25.32,CA,broken clouds
554,Quelimane,-17.8786,36.8883,75.15,94,75,0.0,MZ,broken clouds
555,Portland,45.5234,-122.6762,56.91,62,75,18.41,US,broken clouds
556,Kalmar,56.6616,16.3616,34.97,86,13,6.91,SE,few clouds
557,Tupik,54.4253,119.9327,23.11,78,34,1.5,RU,scattered clouds
558,Acajutla,13.5928,-89.8275,85.77,66,100,8.5,SV,overcast clouds
559,Abu Dhabi,24.4667,54.3667,78.96,73,0,2.3,AE,clear sky
560,Bay Roberts,47.5999,-53.2648,32.5,85,65,8.01,CA,broken clouds
561,Quebo,11.3333,-14.9333,75.27,80,7,5.64,GW,clear sky
